"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,0.5,0,0
8.3879e-05,-0.033818,-0.00012078,0,1,0.01,0.5,0.01,0
0.00016776,-0.067636,-0.00024156,0,1,0.02,0.5,0.02,0
-3.7004e-05,-0.096496,-0.00025265,0,1,0.03,0.5,0.03,0
-0.00026799,-0.12491,-0.00025378,0,1,0.04,0.5,0.04,0
-0.00071329,-0.1509,-0.00071509,0,1,0.05,0.5,0.05,0
-0.0012014,-0.1764,-0.0012683,0,1,0.06,0.5,0.06,0
-0.0020016,-0.20093,-0.0018981,0,1,0.07,0.5,0.07,0
-0.0029058,-0.22513,-0.0025533,0,1,0.08,0.5,0.08,0
-0.0041758,-0.24845,-0.002977,0,1,0.09,0.5,0.09,0
-0.0056285,-0.27135,-0.0032851,0,1,0.1,0.5,0.1,0
-0.0075285,-0.2925,-0.0034269,0,1,0.11,0.5,0.11,0
-0.0097477,-0.31242,-0.00345,0,1,0.12,0.5,0.12,0
-0.012154,-0.33033,-0.0032476,0,1,0.13,0.5,0.13,0
-0.014934,-0.34481,-0.0026759,0,1,0.14,0.5,0.14,0
-0.018058,-0.35606,-0.0018729,0,1,0.15,0.5,0.15,0
-0.02144,-0.36362,-0.00094831,0,1,0.16,0.5,0.16,0
-0.025029,-0.3674,4.9011e-05,0,1,0.17,0.5,0.17,0
-0.028758,-0.36742,0.0010674,0,1,0.18,0.5,0.18,0
-0.032556,-0.36389,0.0020676,0,1,0.19,0.5,0.19,0
-0.036383,-0.35718,0.0029865,0,1,0.2,0.5,0.2,0
-0.040247,-0.34766,0.0036668,0,1,0.21,0.5,0.21,0
-0.04379,-0.33573,0.0042516,0,1,0.22,0.5,0.22,0
-0.047318,-0.32364,0.0048146,0,1,0.23,0.5,0.23,0
-0.050696,-0.30978,0.0051417,0,1,0.24,0.5,0.24,0
-0.054073,-0.29592,0.0054689,0,1,0.25,0.5,0.25,0
-0.056728,-0.28284,0.0060118,0,1,0.26,0.5,0.26,0
-0.059383,-0.26977,0.0065547,0,1,0.27,0.5,0.27,0
-0.062038,-0.25669,0.0070976,0,1,0.28,0.5,0.28,0
-0.064693,-0.24361,0.0076405,0,1,0.29,0.5,0.29,0
-0.066945,-0.23187,0.0075575,0,1,0.3,0.5,0.3,0
-0.069116,-0.2204,0.0073498,0,1,0.31,0.5,0.31,0
-0.071287,-0.20893,0.0071421,0,1,0.32,0.5,0.32,0
-0.073459,-0.19745,0.0069345,0,1,0.33,0.5,0.33,0
-0.075201,-0.18651,0.0065351,0,1,0.34,0.5,0.34,0
-0.07673,-0.17583,0.0060402,0,1,0.35,0.5,0.35,0
-0.078258,-0.16514,0.0055452,0,1,0.36,0.5,0.36,0
