"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,0.5,0,0
0.0001722,-0.03134,-0.00033151,0,1,0.01,0.5,0.01,0
0.0003444,-0.062681,-0.00066302,0,1,0.02,0.5,0.02,0
0.00016822,-0.090451,-0.00065532,0,1,0.03,0.5,0.03,0
-3.9616e-05,-0.1179,-0.00061681,0,1,0.04,0.5,0.04,0
-0.0004464,-0.14369,-0.001084,0,1,0.05,0.5,0.05,0
-0.00089294,-0.16915,-0.0016522,0,1,0.06,0.5,0.06,0
-0.0016296,-0.19409,-0.0023267,0,1,0.07,0.5,0.07,0
-0.0024628,-0.21886,-0.0030366,0,1,0.08,0.5,0.08,0
-0.0036653,-0.24304,-0.0035259,0,1,0.09,0.5,0.09,0
-0.0050523,-0.26691,-0.0039051,0,1,0.1,0.5,0.1,0
-0.0068427,-0.28923,-0.0039866,0,1,0.11,0.5,0.11,0
-0.0089211,-0.31044,-0.0038557,0,1,0.12,0.5,0.12,0
-0.011309,-0.3297,-0.0034548,0,1,0.13,0.5,0.13,0
-0.014133,-0.3457,-0.0027231,0,1,0.14,0.5,0.14,0
-0.017239,-0.35862,-0.0018382,0,1,0.15,0.5,0.15,0
-0.020637,-0.36801,-0.00079299,0,1,0.16,0.5,0.16,0
-0.024271,-0.37374,0.00035101,0,1,0.17,0.5,0.17,0
-0.028084,-0.37582,0.0015341,0,1,0.18,0.5,0.18,0
-0.032011,-0.37446,0.0027034,0,1,0.19,0.5,0.19,0
-0.036,-0.37,0.00381,0,1,0.2,0.5,0.2,0
-0.040012,-0.36279,0.0047855,0,1,0.21,0.5,0.21,0
-0.04387,-0.35304,0.0056421,0,1,0.22,0.5,0.22,0
-0.047719,-0.3431,0.0064639,0,1,0.23,0.5,0.23,0
-0.051458,-0.33104,0.006905,0,1,0.24,0.5,0.24,0
-0.055197,-0.31897,0.0073461,0,1,0.25,0.5,0.25,0
-0.058338,-0.30668,0.007809,0,1,0.26,0.5,0.26,0
-0.061479,-0.2944,0.0082718,0,1,0.27,0.5,0.27,0
-0.06462,-0.28211,0.0087346,0,1,0.28,0.5,0.28,0
-0.067761,-0.26983,0.0091975,0,1,0.29,0.5,0.29,0
-0.070401,-0.25856,0.0096222,0,1,0.3,0.5,0.3,0
-0.07294,-0.24749,0.010039,0,1,0.31,0.5,0.31,0
-0.075479,-0.23643,0.010457,0,1,0.32,0.5,0.32,0
-0.078018,-0.22536,0.010874,0,1,0.33,0.5,0.33,0
-0.08024,-0.21509,0.011415,0,1,0.34,0.5,0.34,0
-0.082304,-0.20522,0.012018,0,1,0.35,0.5,0.35,0
-0.084368,-0.19535,0.012621,0,1,0.36,0.5,0.36,0
-0.086432,-0.18548,0.013223,0,1,0.37,0.5,0.37,0
-0.088291,-0.17583,0.013917,0,1,0.38,0.5,0.38,0
-0.089946,-0.16639,0.0147,0,1,0.39,0.5,0.39,0
-0.091601,-0.15696,0.015484,0,1,0.4,0.5,0.4,0
-0.093255,-0.14753,0.016267,0,1,0.41,0.5,0.41,0
-0.094777,-0.1381,0.017087,0,1,0.42,0.5,0.42,0
