"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,1,0,0.5,0,0
8.8709e-05,-0.0067522,-6.2654e-05,0,1,0.01,0.5,0.01,0
0.00017742,-0.013504,-0.00012531,0,1,0.02,0.5,0.02,0
0.00026613,-0.020256,-0.00018796,0,1,0.03,0.5,0.03,0
0.00035483,-0.027009,-0.00025062,0,1,0.04,0.5,0.04,0
0.00033668,-0.033016,-0.00027964,0,1,0.05,0.5,0.05,0
0.00029718,-0.038874,-0.00030194,0,1,0.06,0.5,0.06,0
0.00025768,-0.044733,-0.00032423,0,1,0.07,0.5,0.07,0
0.00021817,-0.050591,-0.00034653,0,1,0.08,0.5,0.08,0
0.00015932,-0.056134,-0.00037507,0,1,0.09,0.5,0.09,0
9.0806e-05,-0.061519,-0.00040673,0,1,0.1,0.5,0.1,0
2.229e-05,-0.066904,-0.00043839,0,1,0.11,0.5,0.11,0
-4.6225e-05,-0.072289,-0.00047004,0,1,0.12,0.5,0.12,0
-0.00014781,-0.077564,-0.00047656,0,1,0.13,0.5,0.13,0
-0.00028241,-0.082729,-0.00045797,0,1,0.14,0.5,0.14,0
-0.00041702,-0.087894,-0.00043938,0,1,0.15,0.5,0.15,0
-0.00055162,-0.093059,-0.0004208,0,1,0.16,0.5,0.16,0
-0.0007208,-0.0982,-0.00035747,0,1,0.17,0.5,0.17,0
-0.00095899,-0.10329,-0.00020479,0,1,0.18,0.5,0.18,0
-0.0011972,-0.10839,-5.2118e-05,0,1,0.19,0.5,0.19,0
-0.0014354,-0.11348,0.00010056,0,1,0.2,0.5,0.2,0
-0.0016979,-0.11857,0.00029453,0,1,0.21,0.5,0.21,0
-0.0020816,-0.12363,0.00069416,0,1,0.22,0.5,0.22,0
-0.0024653,-0.12869,0.0010938,0,1,0.23,0.5,0.23,0
-0.002849,-0.13375,0.0014934,0,1,0.24,0.5,0.24,0
-0.0032328,-0.13881,0.0018933,0,1,0.25,0.5,0.25,0
-0.0038529,-0.14375,0.0026542,0,1,0.26,0.5,0.26,0
-0.0044729,-0.1487,0.0034151,0,1,0.27,0.5,0.27,0
-0.005093,-0.15364,0.0041761,0,1,0.28,0.5,0.28,0
-0.0057131,-0.15859,0.004937,0,1,0.29,0.5,0.29,0
-0.0065044,-0.16318,0.0061627,0,1,0.3,0.5,0.3,0
-0.0073298,-0.1677,0.0074808,0,1,0.31,0.5,0.31,0
-0.0081552,-0.17221,0.008799,0,1,0.32,0.5,0.32,0
-0.0089806,-0.17673,0.010117,0,1,0.33,0.5,0.33,0
-0.010029,-0.18095,0.011714,0,1,0.34,0.5,0.34,0
-0.011189,-0.18502,0.01345,0,1,0.35,0.5,0.35,0
-0.012443,-0.18885,0.015366,0,1,0.36,0.5,0.36,0
-0.013764,-0.1925,0.01741,0,1,0.37,0.5,0.37,0
-0.015171,-0.19585,0.019627,0,1,0.38,0.5,0.38,0
-0.016665,-0.19889,0.022015,0,1,0.39,0.5,0.39,0
-0.018239,-0.20163,0.024542,0,1,0.4,0.5,0.4,0
-0.019925,-0.20395,0.027262,0,1,0.41,0.5,0.41,0
-0.021676,-0.20599,0.030088,0,1,0.42,0.5,0.42,0
-0.023554,-0.20747,0.033125,0,1,0.43,0.5,0.43,0
-0.025478,-0.2087,0.036233,0,1,0.44,0.5,0.44,0
-0.027539,-0.20921,0.039555,0,1,0.45,0.5,0.45,0
-0.029628,-0.20954,0.042918,0,1,0.46,0.5,0.46,0
-0.031855,-0.20897,0.046484,0,1,0.47,0.5,0.47,0
-0.034094,-0.2083,0.050065,0,1,0.48,0.5,0.48,0
-0.03646,-0.20657,0.053816,0,1,0.49,0.5,0.49,0
-0.038827,-0.20483,0.057567,0,1,0.5,0.5,0.5,0
-0.041297,-0.20186,0.061432,0,1,0.51,0.5,0.51,0
-0.043768,-0.19888,0.065297,0,1,0.52,0.5,0.52,0
-0.046294,-0.19474,0.069191,0,1,0.53,0.5,0.53,0
-0.048826,-0.1905,0.073088,0,1,0.54,0.5,0.54,0
-0.051368,-0.18518,0.076936,0,1,0.55,0.5,0.55,0
-0.053911,-0.17965,0.080773,0,1,0.56,0.5,0.56,0
-0.056423,-0.17317,0.084492,0,1,0.57,0.5,0.57,0
-0.058925,-0.16637,0.088172,0,1,0.58,0.5,0.58,0
-0.061361,-0.15877,0.091679,0,1,0.59,0.5,0.59,0
-0.063764,-0.15076,0.0951,0,1,0.6,0.5,0.6,0
-0.066079,-0.14208,0.098312,0,1,0.61,0.5,0.61,0
-0.068329,-0.13292,0.10137,0,1,0.62,0.5,0.62,0
-0.070478,-0.12323,0.10421,0,1,0.63,0.5,0.63,0
-0.072525,-0.11301,0.10681,0,1,0.64,0.5,0.64,0
-0.074468,-0.10237,0.10919,0,1,0.65,0.5,0.65,0
-0.076265,-0.091168,0.11124,0,1,0.66,0.5,0.66,0
-0.077967,-0.079656,0.11308,0,1,0.67,0.5,0.67,0
-0.079479,-0.067534,0.1145,0,1,0.68,0.5,0.68,0
-0.080912,-0.055191,0.11574,0,1,0.69,0.5,0.69,0
-0.08211,-0.042191,0.11644,0,1,0.7,0.5,0.7,0
-0.083253,-0.02904,0.117,0,1,0.71,0.5,0.71,0
-0.08412,-0.015141,0.11691,0,1,0.72,0.5,0.72,0
-0.084958,-0.001159,0.11674,0,1,0.73,0.5,0.73,0
-0.085487,0.01374,0.11579,0,1,0.74,0.5,0.74,0
-0.086016,0.028641,0.11484,0,1,0.75,0.5,0.75,0
-0.08621,0.04476,0.11297,0,1,0.76,0.5,0.76,0
-0.086404,0.060879,0.1111,0,1,0.77,0.5,0.77,0
-0.086287,0.07846,0.10835,0,1,0.78,0.5,0.78,0
-0.086141,0.096174,0.10553,0,1,0.79,0.5,0.79,0
-0.085747,0.11509,0.10204,0,1,0.8,0.5,0.8,0
-0.085291,0.13533,0.098079,0,1,0.81,0.5,0.81,0
-0.084684,0.15693,0.09366,0,1,0.82,0.5,0.82,0
-0.083936,0.1801,0.088788,0,1,0.83,0.5,0.83,0
-0.083066,0.2051,0.083478,0,1,0.84,0.5,0.84,0
-0.082079,0.23217,0.077758,0,1,0.85,0.5,0.85,0
-0.080985,0.26161,0.071667,0,1,0.86,0.5,0.86,0
-0.079793,0.29368,0.065253,0,1,0.87,0.5,0.87,0
-0.078513,0.32869,0.058582,0,1,0.88,0.5,0.88,0
-0.077158,0.3669,0.051733,0,1,0.89,0.5,0.89,0
-0.075739,0.40855,0.044801,0,1,0.9,0.5,0.9,0
-0.074271,0.45384,0.0379,0,1,0.91,0.5,0.91,0
-0.072769,0.50287,0.031156,0,1,0.92,0.5,0.92,0
-0.071251,0.55567,0.02471,0,1,0.93,0.5,0.93,0
-0.069738,0.61211,0.018712,0,1,0.94,0.5,0.94,0
-0.068247,0.67193,0.013315,0,1,0.95,0.5,0.95,0
-0.066799,0.7347,0.0086691,0,1,0.96,0.5,0.96,0
-0.065404,0.79979,0.0049173,0,1,0.97,0.5,0.97,0
-0.064081,0.86638,0.0021775,0,1,0.98,0.5,0.98,0
-0.062863,0.93349,0.00052535,0,1,0.99,0.5,0.99,0
-0.06155,1,-2.9164e-18,0,1,1,0.5,1,0
