"pressure","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.016363,0,0,0,1,0,0,0.5,0
-0.016469,-0.00017232,0.03885,0,1,0.01,0.01,0.5,0
-0.016578,-0.00073956,0.073347,0,1,0.02,0.02,0.5,0
-0.016717,-0.0017353,0.10375,0,1,0.03,0.03,0.5,0
-0.016898,-0.0031842,0.13035,0,1,0.04,0.04,0.5,0
-0.017134,-0.0050908,0.15349,0,1,0.05,0.05,0.5,0
-0.017438,-0.0074396,0.17354,0,1,0.06,0.06,0.5,0
-0.017821,-0.010201,0.19086,0,1,0.07,0.07,0.5,0
-0.018276,-0.013324,0.20593,0,1,0.08,0.08,0.5,0
-0.01888,-0.016845,0.21845,0,1,0.09,0.09,0.5,0
-0.019548,-0.020514,0.23003,0,1,0.1,0.1,0.5,0
-0.020351,-0.024412,0.24005,0,1,0.11,0.11,0.5,0
-0.021251,-0.028474,0.24896,0,1,0.12,0.12,0.5,0
-0.022281,-0.032622,0.25693,0,1,0.13,0.13,0.5,0
-0.023442,-0.036854,0.26396,0,1,0.14,0.14,0.5,0
-0.024715,-0.041089,0.27037,0,1,0.15,0.15,0.5,0
-0.026147,-0.045326,0.2759,0,1,0.16,0.16,0.5,0
-0.027672,-0.049523,0.28094,0,1,0.17,0.17,0.5,0
-0.02938,-0.053641,0.28501,0,1,0.18,0.18,0.5,0
-0.031156,-0.057706,0.28868,0,1,0.19,0.19,0.5,0
-0.033134,-0.061615,0.29118,0,1,0.2,0.2,0.5,0
-0.035154,-0.065478,0.29339,0,1,0.21,0.21,0.5,0
-0.03738,-0.069109,0.29417,0,1,0.22,0.22,0.5,0
-0.039625,-0.072714,0.29479,0,1,0.23,0.23,0.5,0
-0.042065,-0.07602,0.29371,0,1,0.24,0.24,0.5,0
-0.044505,-0.079325,0.29264,0,1,0.25,0.25,0.5,0
-0.04711,-0.082269,0.28966,0,1,0.26,0.26,0.5,0
-0.049715,-0.085213,0.28667,0,1,0.27,0.27,0.5,0
-0.052416,-0.08781,0.28197,0,1,0.28,0.28,0.5,0
-0.055126,-0.090375,0.27711,0,1,0.29,0.29,0.5,0
-0.057866,-0.092625,0.27077,0,1,0.3,0.3,0.5,0
-0.060613,-0.094811,0.26414,0,1,0.31,0.31,0.5,0
-0.063339,-0.096731,0.25633,0,1,0.32,0.32,0.5,0
-0.066058,-0.098563,0.24813,0,1,0.33,0.33,0.5,0
-0.068697,-0.10016,0.23902,0,1,0.34,0.34,0.5,0
-0.071297,-0.10165,0.22946,0,1,0.35,0.35,0.5,0
-0.073898,-0.10306,0.21936,0,1,0.36,0.36,0.5,0
-0.076499,-0.10442,0.20888,0,1,0.37,0.37,0.5,0
-0.078869,-0.10559,0.19784,0,1,0.38,0.38,0.5,0
-0.081006,-0.10657,0.18624,0,1,0.39,0.39,0.5,0
-0.083142,-0.10754,0.17465,0,1,0.4,0.4,0.5,0
-0.085279,-0.10852,0.16305,0,1,0.41,0.41,0.5,0
-0.087244,-0.10943,0.15124,0,1,0.42,0.42,0.5,0
-0.088866,-0.11023,0.13899,0,1,0.43,0.43,0.5,0
-0.090488,-0.11102,0.12673,0,1,0.44,0.44,0.5,0
-0.09211,-0.11181,0.11448,0,1,0.45,0.45,0.5,0
-0.093636,-0.11261,0.10221,0,1,0.46,0.46,0.5,0
-0.09468,-0.11341,0.089881,0,1,0.47,0.47,0.5,0
-0.095725,-0.11422,0.077548,0,1,0.48,0.48,0.5,0
-0.096769,-0.11502,0.065215,0,1,0.49,0.49,0.5,0
-0.097813,-0.11582,0.052882,0,1,0.5,0.5,0.5,0
-0.098292,-0.11679,0.040735,0,1,0.51,0.51,0.5,0
-0.098771,-0.11776,0.028587,0,1,0.52,0.52,0.5,0
-0.09925,-0.11872,0.01644,0,1,0.53,0.53,0.5,0
-0.09973,-0.11969,0.0042924,0,1,0.54,0.54,0.5,0
-0.099761,-0.12089,-0.0077161,0,1,0.55,0.55,0.5,0
-0.099704,-0.12214,-0.019697,0,1,0.56,0.56,0.5,0
-0.099646,-0.12339,-0.031678,0,1,0.57,0.57,0.5,0
-0.099589,-0.12464,-0.043658,0,1,0.58,0.58,0.5,0
-0.099199,-0.12618,-0.055673,0,1,0.59,0.59,0.5,0
-0.098644,-0.12787,-0.067705,0,1,0.6,0.6,0.5,0
-0.098089,-0.12955,-0.079736,0,1,0.61,0.61,0.5,0
-0.097534,-0.13124,-0.091768,0,1,0.62,0.62,0.5,0
-0.096725,-0.13322,-0.10406,0,1,0.63,0.63,0.5,0
-0.095661,-0.13548,-0.1166,0,1,0.64,0.64,0.5,0
-0.094598,-0.13775,-0.12915,0,1,0.65,0.65,0.5,0
-0.093535,-0.14002,-0.1417,0,1,0.66,0.66,0.5,0
-0.092315,-0.14255,-0.15454,0,1,0.67,0.67,0.5,0
-0.090786,-0.14563,-0.16797,0,1,0.68,0.68,0.5,0
-0.089229,-0.1488,-0.18161,0,1,0.69,0.69,0.5,0
-0.087594,-0.15225,-0.19592,0,1,0.7,0.7,0.5,0
-0.085904,-0.1558,-0.21045,0,1,0.71,0.71,0.5,0
-0.083945,-0.15978,-0.22608,0,1,0.72,0.72,0.5,0
-0.08196,-0.16378,-0.24183,0,1,0.73,0.73,0.5,0
-0.079697,-0.16806,-0.25887,0,1,0.74,0.74,0.5,0
-0.077433,-0.17235,-0.2759,0,1,0.75,0.75,0.5,0
-0.074822,-0.17661,-0.29425,0,1,0.76,0.76,0.5,0
-0.072211,-0.18088,-0.31259,0,1,0.77,0.77,0.5,0
-0.069254,-0.18453,-0.33161,0,1,0.78,0.78,0.5,0
-0.066265,-0.18813,-0.35069,0,1,0.79,0.79,0.5,0
-0.062981,-0.19079,-0.36945,0,1,0.8,0.8,0.5,0
-0.059584,-0.19241,-0.38763,0,1,0.81,0.81,0.5,0
-0.056087,-0.19274,-0.40443,0,1,0.82,0.82,0.5,0
-0.052507,-0.19144,-0.41911,0,1,0.83,0.83,0.5,0
-0.048898,-0.18824,-0.43083,0,1,0.84,0.84,0.5,0
-0.045329,-0.18292,-0.43874,0,1,0.85,0.85,0.5,0
-0.041874,-0.1753,-0.44195,0,1,0.86,0.86,0.5,0
-0.038624,-0.16533,-0.43964,0,1,0.87,0.87,0.5,0
-0.03567,-0.15307,-0.43113,0,1,0.88,0.88,0.5,0
-0.033087,-0.13877,-0.41601,0,1,0.89,0.89,0.5,0
-0.030934,-0.1228,-0.3942,0,1,0.9,0.9,0.5,0
-0.029259,-0.10567,-0.36593,0,1,0.91,0.91,0.5,0
-0.028069,-0.087986,-0.33184,0,1,0.92,0.92,0.5,0
-0.027357,-0.070431,-0.29291,0,1,0.93,0.93,0.5,0
-0.02708,-0.053685,-0.25037,0,1,0.94,0.94,0.5,0
-0.027169,-0.038402,-0.20566,0,1,0.95,0.95,0.5,0
-0.027545,-0.025151,-0.16031,0,1,0.96,0.96,0.5,0
-0.028128,-0.014395,-0.11582,0,1,0.97,0.97,0.5,0
-0.028841,-0.0064709,-0.073551,0,1,0.98,0.98,0.5,0
-0.029619,-0.0015987,-0.034651,0,1,0.99,0.99,0.5,0
