0 0.000000 0.000000 291 
 1 0.200000 0.000000 14938 15215 
 2 1.000000 0.000000 1403 
 3 1.000000 0.200000 1292 
 4 0.200000 0.200000 14586 15620 
 5 0.000000 0.200000 307 
 6 0.010000 0.000000 291 292 
 7 0.020000 0.000000 279 292 
 8 0.030000 0.000000 279 280 
 9 0.040000 0.000000 274 280 
 10 0.050000 0.000000 274 275 
 11 0.060000 0.000000 275 299 
 12 0.070000 0.000000 299 300 
 13 0.080000 0.000000 300 310 
 14 0.090000 0.000000 310 311 
 15 0.100000 0.000000 177 311 
 16 0.110000 0.000000 174 177 
 17 0.120000 0.000000 159 174 
 18 0.130000 0.000000 159 4294 
 19 0.140000 0.000000 4268 4295 
 20 0.150000 0.000000 1740 4266 
 21 0.160000 0.000000 1738 7620 
 22 0.170000 0.000000 4996 7610 
 23 0.180000 0.000000 4986 15338 
 24 0.190000 0.000000 15194 15359 
 25 0.210000 0.000000 14959 15002 
 26 0.220000 0.000000 15023 15492 
 27 0.230000 0.000000 5126 5144 
 28 0.240000 0.000000 5050 5134 
 29 0.250000 0.000000 5055 9178 
 30 0.260000 0.000000 9183 9252 
 31 0.270000 0.000000 9242 9268 
 32 0.280000 0.000000 7908 9258 
 33 0.290000 0.000000 7860 7898 
 34 0.300000 0.000000 7850 9780 
 35 0.310000 0.000000 9770 9796 
 36 0.320000 0.000000 9610 9786 
 37 0.330000 0.000000 9562 9615 
 38 0.340000 0.000000 9567 13092 
 39 0.350000 0.000000 13082 13108 
 40 0.360000 0.000000 9636 13098 
 41 0.370000 0.000000 9626 9652 
 42 0.380000 0.000000 9642 10596 
 43 0.390000 0.000000 10586 10612 
 44 0.400000 0.000000 10602 11012 
 45 0.410000 0.000000 11002 11028 
 46 0.420000 0.000000 11018 13450 
 47 0.430000 0.000000 13402 13455 
 48 0.440000 0.000000 12340 13407 
 49 0.450000 0.000000 12330 12356 
 50 0.460000 0.000000 12346 12612 
 51 0.470000 0.000000 12602 12628 
 52 0.480000 0.000000 12490 12618 
 53 0.490000 0.000000 12495 12506 
 54 0.500000 0.000000 11210 12511 
 55 0.510000 0.000000 11215 11226 
 56 0.520000 0.000000 11231 12762 
 57 0.530000 0.000000 12714 12767 
 58 0.540000 0.000000 11466 12719 
 59 0.550000 0.000000 11418 11471 
 60 0.560000 0.000000 11423 13866 
 61 0.570000 0.000000 13871 13882 
 62 0.580000 0.000000 13887 14068 
 63 0.590000 0.000000 14058 14084 
 64 0.600000 0.000000 5876 14074 
 65 0.610000 0.000000 5828 5866 
 66 0.620000 0.000000 420 5818 
 67 0.630000 0.000000 418 2804 
 68 0.640000 0.000000 2492 2802 
 69 0.650000 0.000000 2484 2490 
 70 0.660000 0.000000 2482 2774 
 71 0.670000 0.000000 2775 2778 
 72 0.680000 0.000000 2152 2779 
 73 0.690000 0.000000 2140 2150 
 74 0.700000 0.000000 2138 2246 
 75 0.710000 0.000000 2247 2250 
 76 0.720000 0.000000 2098 2251 
 77 0.730000 0.000000 2099 2102 
 78 0.740000 0.000000 2103 2810 
 79 0.750000 0.000000 2811 2814 
 80 0.760000 0.000000 1590 2815 
 81 0.770000 0.000000 1578 1591 
 82 0.780000 0.000000 1579 2826 
 83 0.790000 0.000000 2827 2830 
 84 0.800000 0.000000 2831 2874 
 85 0.810000 0.000000 2875 2878 
 86 0.820000 0.000000 2060 2879 
 87 0.830000 0.000000 2048 2058 
 88 0.840000 0.000000 2046 3010 
 89 0.850000 0.000000 3011 3014 
 90 0.860000 0.000000 2454 3015 
 91 0.870000 0.000000 2455 2458 
 92 0.880000 0.000000 2459 2766 
 93 0.890000 0.000000 2754 2767 
 94 0.900000 0.000000 2755 2890 
 95 0.910000 0.000000 2891 2894 
 96 0.920000 0.000000 1622 2895 
 97 0.930000 0.000000 1610 1623 
 98 0.940000 0.000000 1254 1611 
 99 0.950000 0.000000 1255 1258 
 100 0.960000 0.000000 1259 2934 
 101 0.970000 0.000000 2935 2938 
 102 0.980000 0.000000 1398 2939 
 103 0.990000 0.000000 1399 1402 
 104 1.000000 0.010000 1405 1407 
 105 1.000000 0.020000 1409 3737 
 106 1.000000 0.030000 3736 3741 
 107 1.000000 0.040000 3740 14153 
 108 1.000000 0.050000 14137 14148 
 109 1.000000 0.060000 13967 14132 
 110 1.000000 0.070000 13977 13983 
 111 1.000000 0.080000 10175 13993 
 112 1.000000 0.090000 10185 10191 
 113 1.000000 0.100000 9113 10201 
 114 1.000000 0.110000 9108 9129 
 115 1.000000 0.120000 6057 9124 
 116 1.000000 0.130000 6052 6073 
 117 1.000000 0.140000 6068 6441 
 118 1.000000 0.150000 6436 6457 
 119 1.000000 0.160000 1541 6452 
 120 1.000000 0.170000 1540 1545 
 121 1.000000 0.180000 1289 1544 
 122 1.000000 0.190000 1288 1293 
 123 0.990000 0.200000 1290 1296 
 124 0.980000 0.200000 1294 4192 
 125 0.970000 0.200000 4190 4196 
 126 0.960000 0.200000 4194 4212 
 127 0.950000 0.200000 4210 4216 
 128 0.940000 0.200000 3248 4214 
 129 0.930000 0.200000 3246 3252 
 130 0.920000 0.200000 3250 3288 
 131 0.910000 0.200000 3286 3292 
 132 0.900000 0.200000 3290 3560 
 133 0.890000 0.200000 3548 3558 
 134 0.880000 0.200000 3546 4168 
 135 0.870000 0.200000 4156 4166 
 136 0.860000 0.200000 3724 4154 
 137 0.850000 0.200000 3722 3728 
 138 0.840000 0.200000 3654 3726 
 139 0.830000 0.200000 3655 3658 
 140 0.820000 0.200000 3659 4184 
 141 0.810000 0.200000 4172 4182 
 142 0.800000 0.200000 3644 4170 
 143 0.790000 0.200000 3642 3648 
 144 0.780000 0.200000 3646 3808 
 145 0.770000 0.200000 3806 3812 
 146 0.760000 0.200000 3708 3810 
 147 0.750000 0.200000 3706 3712 
 148 0.740000 0.200000 3710 3856 
 149 0.730000 0.200000 3854 3860 
 150 0.720000 0.200000 3844 3858 
 151 0.710000 0.200000 3842 3848 
 152 0.700000 0.200000 3846 4046 
 153 0.690000 0.200000 4047 4050 
 154 0.680000 0.200000 3988 4051 
 155 0.670000 0.200000 3986 3992 
 156 0.660000 0.200000 3990 4106 
 157 0.650000 0.200000 4107 4110 
 158 0.640000 0.200000 4098 4111 
 159 0.630000 0.200000 478 4099 
 160 0.620000 0.200000 479 13674 
 161 0.610000 0.200000 13679 13690 
 162 0.600000 0.200000 5802 13695 
 163 0.590000 0.200000 5754 5807 
 164 0.580000 0.200000 5759 5908 
 165 0.570000 0.200000 5898 5924 
 166 0.560000 0.200000 5914 9060 
 167 0.550000 0.200000 9050 9076 
 168 0.540000 0.200000 8164 9066 
 169 0.530000 0.200000 8154 8180 
 170 0.520000 0.200000 8170 9876 
 171 0.510000 0.200000 9828 9866 
 172 0.500000 0.200000 7684 9818 
 173 0.490000 0.200000 7674 7700 
 174 0.480000 0.200000 7690 10026 
 175 0.470000 0.200000 10031 10042 
 176 0.460000 0.200000 8730 10047 
 177 0.450000 0.200000 8735 8746 
 178 0.440000 0.200000 7012 8751 
 179 0.430000 0.200000 6964 7002 
 180 0.420000 0.200000 6954 9706 
 181 0.410000 0.200000 9711 9722 
 182 0.400000 0.200000 9727 9962 
 183 0.390000 0.200000 9967 9978 
 184 0.380000 0.200000 6618 9983 
 185 0.370000 0.200000 6570 6623 
 186 0.360000 0.200000 6575 8858 
 187 0.350000 0.200000 8863 8874 
 188 0.340000 0.200000 8879 9908 
 189 0.330000 0.200000 9898 9924 
 190 0.320000 0.200000 8474 9914 
 191 0.310000 0.200000 8426 8479 
 192 0.300000 0.200000 8431 10298 
 193 0.290000 0.200000 10303 10314 
 194 0.280000 0.200000 8314 10319 
 195 0.270000 0.200000 8266 8319 
 196 0.260000 0.200000 6324 8271 
 197 0.250000 0.200000 4592 6314 
 198 0.240000 0.200000 4582 4942 
 199 0.230000 0.200000 4947 4958 
 200 0.220000 0.200000 14820 15135 
 201 0.210000 0.200000 14628 14778 
 202 0.190000 0.200000 15578 15684 
 203 0.180000 0.200000 5294 15642 
 204 0.170000 0.200000 5299 12666 
 205 0.160000 0.200000 3510 12671 
 206 0.150000 0.200000 3511 4378 
 207 0.140000 0.200000 4379 4400 
 208 0.130000 0.200000 268 4398 
 209 0.120000 0.200000 227 268 
 210 0.110000 0.200000 224 227 
 211 0.100000 0.200000 69 224 
 212 0.090000 0.200000 66 69 
 213 0.080000 0.200000 66 99 
 214 0.070000 0.200000 99 100 
 215 0.060000 0.200000 100 119 
 216 0.050000 0.200000 119 120 
 217 0.040000 0.200000 41 120 
 218 0.030000 0.200000 41 42 
 219 0.020000 0.200000 42 306 
 220 0.010000 0.200000 306 307 
 221 0.000000 0.190000 307 308 
 222 0.000000 0.180000 308 329 
 223 0.000000 0.170000 326 329 
 224 0.000000 0.160000 317 326 
 225 0.000000 0.150000 314 317 
 226 0.000000 0.140000 304 314 
 227 0.000000 0.130000 304 305 
 228 0.000000 0.120000 146 305 
 229 0.000000 0.110000 146 147 
 230 0.000000 0.100000 147 148 
 231 0.000000 0.090000 148 149 
 232 0.000000 0.080000 96 149 
 233 0.000000 0.070000 96 97 
 234 0.000000 0.060000 97 116 
 235 0.000000 0.050000 116 117 
 236 0.000000 0.040000 2 117 
 237 0.000000 0.030000 2 3 
 238 0.000000 0.020000 3 290 
 239 0.000000 0.010000 290 291 
 240 0.180000 0.180000 5230 5288 5315 9162 
 241 0.600000 0.180000 5796 6106 13183 13721 
 242 0.360000 0.020000 9689 12052 13017 13119 
 243 0.800000 0.180000 3386 3641 3772 4175 
 244 0.860000 0.180000 3721 3938 4092 4159 
 245 0.480000 0.020000 11551 12116 12484 12639 
 246 0.720000 0.180000 2906 3841 3863 4036 
 247 0.100000 0.180000 68 72 225 271 
 248 0.300000 0.020000 7871 9769 11076 12009 
 249 0.560000 0.020000 11449 12393 13924 14031 
 250 0.240000 0.020000 4507 4728 5044 5155 
 251 0.120000 0.020000 88 141 158 175 
 252 0.400000 0.180000 5519 8666 9753 9956 
 253 0.320000 0.180000 7162 8346 8468 9935 
 254 0.800000 0.020000 2581 2655 2837 2872 
 255 0.880000 0.020000 951 1869 2465 2764 
