0 -30.000000 -30.000000 1168 
 1 50.000000 -30.000000 1049 
 2 50.000000 30.000000 920 
 3 -30.000000 30.000000 1154 
 4 0.000000 0.500000 18949 20922 
 5 0.000000 -0.500000 20309 20432 22810 
 6 0.500000 0.000000 6906 7652 8125 
 7 -0.500000 0.000000 10864 13525 20202 
 8 -28.590539 -30.000000 1168 1169 
 9 -27.181078 -30.000000 1169 1390 
 10 -25.738508 -30.000000 1387 1390 
 11 -24.295937 -30.000000 1283 1387 
 12 -22.819479 -30.000000 1283 5322 
 13 -21.343021 -30.000000 4532 5320 
 14 -19.831880 -30.000000 4533 4536 
 15 -18.320738 -30.000000 1124 4537 
 16 -16.774098 -30.000000 1121 1124 
 17 -15.227458 -30.000000 862 1121 
 18 -13.644486 -30.000000 862 863 
 19 -12.061514 -30.000000 663 863 
 20 -10.441357 -30.000000 663 664 
 21 -8.821200 -30.000000 664 700 
 22 -7.162983 -30.000000 700 701 
 23 -5.504767 -30.000000 657 701 
 24 -3.807597 -30.000000 657 658 
 25 -2.110428 -30.000000 658 692 
 26 -0.373389 -30.000000 692 693 
 27 1.363649 -30.000000 653 693 
 28 3.141491 -30.000000 653 654 
 29 4.919334 -30.000000 654 696 
 30 6.738940 -30.000000 696 697 
 31 8.558547 -30.000000 667 697 
 32 10.420897 -30.000000 667 668 
 33 12.283248 -30.000000 668 704 
 34 14.189347 -30.000000 704 705 
 35 16.095445 -30.000000 679 705 
 36 18.046321 -30.000000 679 680 
 37 19.997196 -30.000000 680 820 
 38 21.993899 -30.000000 820 821 
 39 23.990603 -30.000000 821 967 
 40 26.034211 -30.000000 967 968 
 41 28.077819 -30.000000 968 1302 
 42 30.169433 -30.000000 1299 1302 
 43 32.261047 -30.000000 1256 1299 
 44 34.401796 -30.000000 1256 1257 
 45 36.542544 -30.000000 1257 1367 
 46 38.733581 -30.000000 1364 1367 
 47 40.924618 -30.000000 1364 1373 
 48 43.167124 -30.000000 1373 1374 
 49 45.409631 -30.000000 1048 1374 
 50 47.704815 -30.000000 1048 1049 
 51 50.000000 -27.500000 1046 1049 
 52 50.000000 -25.000000 1046 1055 
 53 50.000000 -22.500000 1055 1056 
 54 50.000000 -20.000000 1056 1060 
 55 50.000000 -17.500000 1060 1061 
 56 50.000000 -15.000000 1061 2640 
 57 50.000000 -12.500000 2641 2644 
 58 50.000000 -10.000000 2590 2645 
 59 50.000000 -7.500000 2588 8442 
 60 50.000000 -5.000000 8432 17210 
 61 50.000000 -2.500000 17168 17274 
 62 50.000000 -0.000000 17232 17498 
 63 50.000000 2.500000 17456 17530 
 64 50.000000 5.000000 2698 6808 
 65 50.000000 7.500000 2696 2702 
 66 50.000000 10.000000 1083 2700 
 67 50.000000 12.500000 1083 1084 
 68 50.000000 15.000000 1084 1102 
 69 50.000000 17.500000 1102 1103 
 70 50.000000 20.000000 1103 1107 
 71 50.000000 22.500000 1107 1108 
 72 50.000000 25.000000 919 1108 
 73 50.000000 27.500000 919 920 
 74 47.704815 30.000000 920 921 
 75 45.409631 30.000000 921 1236 
 76 43.167124 30.000000 1236 1237 
 77 40.924618 30.000000 1228 1237 
 78 38.733581 30.000000 1225 1228 
 79 36.542544 30.000000 1051 1225 
 80 34.401796 30.000000 1051 1052 
 81 32.261047 30.000000 904 1052 
 82 30.169433 30.000000 904 905 
 83 28.077819 30.000000 724 905 
 84 26.034211 30.000000 724 725 
 85 23.990603 30.000000 569 725 
 86 21.993899 30.000000 569 570 
 87 19.997196 30.000000 570 597 
 88 18.046321 30.000000 597 598 
 89 16.095445 30.000000 561 598 
 90 14.189347 30.000000 561 562 
 91 12.283248 30.000000 549 562 
 92 10.420897 30.000000 549 550 
 93 8.558547 30.000000 550 593 
 94 6.738940 30.000000 593 594 
 95 4.919334 30.000000 557 594 
 96 3.141491 30.000000 557 558 
 97 1.363649 30.000000 558 565 
 98 -0.373389 30.000000 565 566 
 99 -2.110428 30.000000 566 617 
 100 -3.807597 30.000000 617 618 
 101 -5.504767 30.000000 618 649 
 102 -7.162983 30.000000 649 650 
 103 -8.821200 30.000000 650 720 
 104 -10.441357 30.000000 720 721 
 105 -12.061514 30.000000 721 844 
 106 -13.644486 30.000000 844 845 
 107 -15.227458 30.000000 845 963 
 108 -16.774098 30.000000 963 964 
 109 -18.320738 30.000000 964 4444 
 110 -19.831880 30.000000 4445 4448 
 111 -21.343021 30.000000 4449 5310 
 112 -22.819479 30.000000 1223 5308 
 113 -24.295937 30.000000 1223 1398 
 114 -25.738508 30.000000 1395 1398 
 115 -27.181078 30.000000 1153 1395 
 116 -28.590539 30.000000 1153 1154 
 117 -30.000000 28.500000 1151 1154 
 118 -30.000000 27.000000 1151 1448 
 119 -30.000000 25.500000 1445 1448 
 120 -30.000000 24.000000 582 1445 
 121 -30.000000 22.500000 582 583 
 122 -30.000000 21.000000 583 1244 
 123 -30.000000 19.500000 1244 1245 
 124 -30.000000 18.000000 1140 1245 
 125 -30.000000 16.500000 1140 1141 
 126 -30.000000 15.000000 1010 1141 
 127 -30.000000 13.500000 1010 1011 
