0 0.000000 0.000000 3220 
 1 1.000000 0.000000 996 
 2 1.000000 0.200000 1517 
 3 0.000000 0.200000 22070 
 4 0.010000 0.000000 3221 3224 
 5 0.020000 0.000000 3225 20454 
 6 0.030000 0.000000 2258 20444 
 7 0.040000 0.000000 2256 20598 
 8 0.050000 0.000000 2314 20588 
 9 0.060000 0.000000 1870 2312 
 10 0.070000 0.000000 1858 1868 
 11 0.080000 0.000000 1856 1892 
 12 0.090000 0.000000 1880 1893 
 13 0.100000 0.000000 1728 1881 
 14 0.110000 0.000000 1716 1729 
 15 0.120000 0.000000 1717 1920 
 16 0.130000 0.000000 1921 1924 
 17 0.140000 0.000000 1925 2128 
 18 0.150000 0.000000 2129 2132 
 19 0.160000 0.000000 2133 2506 
 20 0.170000 0.000000 2504 2510 
 21 0.180000 0.000000 2508 3160 
 22 0.190000 0.000000 3161 3164 
 23 0.200000 0.000000 2446 3165 
 24 0.210000 0.000000 2444 2450 
 25 0.220000 0.000000 2448 2520 
 26 0.230000 0.000000 2521 2524 
 27 0.240000 0.000000 2478 2525 
 28 0.250000 0.000000 2476 2482 
 29 0.260000 0.000000 2410 2480 
 30 0.270000 0.000000 2408 2414 
 31 0.280000 0.000000 2412 2428 
 32 0.290000 0.000000 2429 2432 
 33 0.300000 0.000000 2362 2433 
 34 0.310000 0.000000 2360 2366 
 35 0.320000 0.000000 2364 2380 
 36 0.330000 0.000000 2381 2384 
 37 0.340000 0.000000 2146 2385 
 38 0.350000 0.000000 2144 2150 
 39 0.360000 0.000000 2148 2396 
 40 0.370000 0.000000 2397 2400 
 41 0.380000 0.000000 2082 2401 
 42 0.390000 0.000000 2080 2086 
 43 0.400000 0.000000 2084 3142 
 44 0.410000 0.000000 3130 3140 
 45 0.420000 0.000000 3106 3128 
 46 0.430000 0.000000 3094 3104 
 47 0.440000 0.000000 2286 3092 
 48 0.450000 0.000000 2284 2290 
 49 0.460000 0.000000 2008 2288 
 50 0.470000 0.000000 2009 2012 
 51 0.480000 0.000000 2013 3036 
 52 0.490000 0.000000 3037 3040 
 53 0.500000 0.000000 3041 14860 
 54 0.510000 0.000000 14865 14876 
 55 0.520000 0.000000 14881 17836 
 56 0.530000 0.000000 17788 17841 
 57 0.540000 0.000000 17793 18150 
 58 0.550000 0.000000 18140 18166 
 59 0.560000 0.000000 18156 18268 
 60 0.570000 0.000000 18273 18284 
 61 0.580000 0.000000 18289 18332 
 62 0.590000 0.000000 18337 18348 
 63 0.600000 0.000000 18353 18412 
 64 0.610000 0.000000 1624 18417 
 65 0.620000 0.000000 1616 1625 
 66 0.630000 0.000000 1617 1620 
 67 0.640000 0.000000 1610 1621 
 68 0.650000 0.000000 1608 17990 
 69 0.660000 0.000000 17980 18508 
 70 0.670000 0.000000 1628 18513 
 71 0.680000 0.000000 1629 17948 
 72 0.690000 0.000000 1604 17953 
 73 0.700000 0.000000 1256 1605 
 74 0.710000 0.000000 1257 16172 
 75 0.720000 0.000000 16177 18220 
 76 0.730000 0.000000 18225 18236 
 77 0.740000 0.000000 16332 18241 
 78 0.750000 0.000000 16337 16348 
 79 0.760000 0.000000 16353 18566 
 80 0.770000 0.000000 1642 18556 
 81 0.780000 0.000000 1296 1640 
 82 0.790000 0.000000 1297 1300 
 83 0.800000 0.000000 1301 1648 
 84 0.810000 0.000000 1649 1652 
 85 0.820000 0.000000 1653 1662 
 86 0.830000 0.000000 1660 1666 
 87 0.840000 0.000000 1658 1664 
 88 0.850000 0.000000 1656 18694 
 89 0.860000 0.000000 16684 18684 
 90 0.870000 0.000000 16689 16700 
 91 0.880000 0.000000 16705 18444 
 92 0.890000 0.000000 18449 18460 
 93 0.900000 0.000000 1592 18465 
 94 0.910000 0.000000 1593 1596 
 95 0.920000 0.000000 1538 1597 
 96 0.930000 0.000000 1536 1542 
 97 0.940000 0.000000 1140 1540 
 98 0.950000 0.000000 1141 1144 
 99 0.960000 0.000000 910 1145 
 100 0.970000 0.000000 908 914 
 101 0.980000 0.000000 912 994 
 102 0.990000 0.000000 992 998 
 103 1.000000 0.010000 997 1000 
 104 1.000000 0.020000 1001 4502 
 105 1.000000 0.030000 4492 11046 
 106 1.000000 0.040000 11036 13036 
 107 1.000000 0.050000 12988 13041 
 108 1.000000 0.060000 12422 12993 
 109 1.000000 0.070000 12412 12438 
 110 1.000000 0.080000 10620 12428 
 111 1.000000 0.090000 10625 10636 
 112 1.000000 0.100000 10406 10641 
 113 1.000000 0.110000 10396 10422 
 114 1.000000 0.120000 6710 10412 
 115 1.000000 0.130000 6700 6726 
 116 1.000000 0.140000 6716 8540 
 117 1.000000 0.150000 8545 8556 
 118 1.000000 0.160000 8561 10694 
 119 1.000000 0.170000 4390 10684 
 120 1.000000 0.180000 1512 4380 
 121 1.000000 0.190000 1513 1516 
 122 0.990000 0.200000 1505 1519 
 123 0.980000 0.200000 1507 1577 
 124 0.970000 0.200000 1579 1581 
 125 0.960000 0.200000 1339 1583 
 126 0.950000 0.200000 1338 1343 
 127 0.940000 0.200000 1237 1342 
 128 0.930000 0.200000 1239 1241 
 129 0.920000 0.200000 967 1243 
 130 0.910000 0.200000 966 971 
 131 0.900000 0.200000 970 14539 
 132 0.890000 0.200000 14491 14534 
 133 0.880000 0.200000 14486 15515 
 134 0.870000 0.200000 15510 15531 
 135 0.860000 0.200000 15526 21921 
 136 0.850000 0.200000 3213 21931 
 137 0.840000 0.200000 3215 3233 
 138 0.830000 0.200000 3229 3235 
 139 0.820000 0.200000 2983 3231 
 140 0.810000 0.200000 2982 2987 
 141 0.800000 0.200000 2959 2986 
 142 0.790000 0.200000 2958 2963 
 143 0.780000 0.200000 2962 3217 
 144 0.770000 0.200000 3219 21937 
 145 0.760000 0.200000 21851 21947 
 146 0.750000 0.200000 21846 21867 
 147 0.740000 0.200000 2931 21862 
 148 0.730000 0.200000 2930 2935 
 149 0.720000 0.200000 2934 20971 
 150 0.710000 0.200000 20966 20987 
 151 0.700000 0.200000 20982 21979 
 152 0.690000 0.200000 21963 21974 
 153 0.680000 0.200000 21883 21958 
 154 0.670000 0.200000 21878 21899 
 155 0.660000 0.200000 2973 21894 
 156 0.650000 0.200000 2975 2977 
 157 0.640000 0.200000 2979 20139 
 158 0.630000 0.200000 20134 20155 
 159 0.620000 0.200000 20150 20859 
 160 0.610000 0.200000 20854 20875 
 161 0.600000 0.200000 2923 20870 
 162 0.590000 0.200000 2922 2927 
 163 0.580000 0.200000 2926 20891 
 164 0.570000 0.200000 20886 20907 
 165 0.560000 0.200000 20902 21025 
 166 0.550000 0.200000 21035 21041 
 167 0.540000 0.200000 21051 22091 
 168 0.530000 0.200000 22086 22107 
 169 0.520000 0.200000 22102 22139 
